Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R1C0,R1C1,R1C2,R1C3,R1C4,R2C0,R2C1,R2C2,R2C3,R2C4,R3C0,R3C1,R3C2,R3C3,R3C4,R4C0,R4C1,R4C2,R4C3,R4C4
R141,0,21,59,21,0,1,78,39,34,0,36,51,87,11,0,9,36,53,32,18,11,17,73,46,15
R142,0,26,56,20,0,2,73,27,38,0,36,51,75,18,0,5,54,52,30,14,10,26,78,41,14
R143,0,28,57,32,0,5,77,34,39,0,27,45,92,11,0,15,48,57,30,11,13,27,62,29,11
R144,0,24,56,25,0,2,72,44,42,0,32,47,82,17,1,14,60,49,35,12,13,18,67,44,16
R145,0,30,57,23,0,4,84,45,38,0,30,56,88,15,0,8,54,60,40,14,12,20,65,38,18
R146,0,30,68,27,0,2,60,42,39,0,38,56,87,20,0,13,51,50,43,13,10,21,59,46,8
R147,0,30,56,19,0,3,79,62,49,0,35,53,81,25,0,15,50,45,39,20,9,24,53,39,14
R148,0,23,66,28,0,2,77,48,56,0,40,47,78,24,0,11,56,45,41,17,12,22,47,43,11
R149,0,21,67,25,0,7,70,66,63,0,27,52,110,23,0,11,52,61,44,21,11,32,62,42,18
R150,0,35,55,29,0,1,96,62,55,0,20,48,101,20,0,14,46,52,40,17,9,28,55,53,12
R151,0,22,66,27,0,4,93,58,65,0,32,47,83,23,0,13,52,56,50,14,15,35,51,46,10
R152,0,33,70,30,0,4,76,78,69,0,42,61,94,22,1,18,64,55,46,16,9,34,59,40,18
R153,0,22,61,27,0,2,88,81,77,0,32,54,102,18,0,15,62,49,38,13,7,32,46,35,7
R154,0,29,66,32,0,1,85,72,64,0,49,48,102,21,0,12,88,58,57,14,8,32,49,43,15
R155,0,30,70,26,0,2,93,83,71,0,38,49,111,23,0,7,60,47,59,21,14,38,40,43,15
R156,0,21,68,20,0,6,103,89,90,0,46,55,106,26,0,8,70,54,52,11,5,26,43,41,12
R157,0,19,72,33,0,4,98,106,91,0,44,48,103,23,2,14,90,39,40,17,13,39,45,41,7
R158,0,34,51,35,0,1,102,89,71,0,24,51,116,35,1,9,72,41,42,29,10,37,44,34,11
R159,0,33,57,24,0,4,102,80,76,0,42,63,97,44,0,13,71,62,54,22,18,45,32,27,7
R160,0,37,51,23,0,4,96,80,104,0,46,40,121,31,0,6,83,57,59,11,10,46,41,42,17
R161,0,34,53,33,0,3,106,115,87,1,40,58,107,29,1,8,75,50,66,14,10,36,44,39,13
R162,0,37,61,42,0,2,111,139,88,0,41,69,114,39,1,8,88,54,57,17,18,42,44,31,15
R163,0,34,65,32,0,2,109,128,108,0,40,60,132,41,2,18,106,61,57,13,12,41,40,49,26
R164,0,40,56,35,0,0,119,100,114,0,38,75,116,50,2,10,98,73,58,18,11,34,38,54,13
R165,0,34,79,34,0,2,121,116,140,0,43,66,128,52,3,15,98,56,53,10,9,31,42,41,17
R166,0,38,59,32,0,3,117,104,124,0,41,75,123,40,0,15,91,45,65,19,7,31,34,54,14
R167,0,41,64,41,0,1,111,144,131,0,50,66,119,36,7,16,109,37,67,17,11,45,29,45,12
R168,0,38,45,40,0,5,130,151,117,0,38,74,136,48,3,8,112,54,52,25,10,51,36,36,7
R169,0,43,48,41,0,6,104,139,130,0,36,61,133,40,6,14,100,63,66,19,10,38,26,32,18
