Grids,R0C0,R0C1,R0C2,R0C3,R0C4,R1C0,R1C1,R1C2,R1C3,R1C4,R2C0,R2C1,R2C2,R2C3,R2C4,R3C0,R3C1,R3C2,R3C3,R3C4,R4C0,R4C1,R4C2,R4C3,R4C4
G5,0,0,2,0,0,0,7,16,3,0,0,0,24,0,0,9,79,1,0,0,32,352,45,14,0
G6,0,0,2,0,0,0,7,5,3,0,0,0,17,0,0,21,72,0,0,0,33,307,53,18,0
G7,0,0,1,0,0,0,5,13,6,0,0,0,17,0,0,32,74,0,0,0,29,288,52,18,0
G8,0,1,0,0,0,0,9,7,6,0,0,0,9,0,0,34,69,0,0,0,51,250,50,20,0
G9,0,0,1,0,0,0,9,10,2,0,0,0,8,0,0,40,82,1,0,0,43,265,43,28,0
G10,0,2,6,0,0,0,8,7,3,0,0,0,15,0,0,42,67,0,0,0,67,283,48,32,0
G11,0,0,3,0,0,0,14,16,5,0,0,0,9,0,0,34,77,4,0,0,67,252,43,27,0
G12,0,0,6,0,0,0,17,5,6,0,0,0,10,0,0,37,76,4,0,0,73,252,61,35,0
G13,0,0,5,0,0,0,16,11,4,0,0,0,13,0,0,38,51,4,0,0,75,249,58,35,0
G14,0,2,6,0,0,0,19,14,2,0,0,0,8,0,0,40,54,7,0,0,83,228,54,37,1
G15,0,0,6,0,0,0,18,9,1,0,0,0,8,0,0,48,56,2,0,0,94,210,52,55,0
G16,0,0,8,0,0,0,29,10,4,0,0,0,4,0,0,45,44,10,0,0,106,217,55,54,0
G17,0,1,4,0,0,0,27,5,5,0,0,0,11,0,0,49,55,7,0,0,85,213,48,61,0
G18,0,1,9,0,0,0,24,8,2,0,0,0,4,0,0,43,57,7,2,0,95,199,62,78,0
G19,0,1,10,0,0,0,33,6,6,0,0,0,5,0,0,46,49,6,0,1,109,184,52,65,3
G20,0,1,9,0,0,0,44,10,3,0,0,0,11,0,0,45,65,8,0,0,94,175,51,81,0
G21,0,1,6,0,0,0,44,5,8,0,0,0,7,0,0,44,43,15,0,0,100,194,73,86,2
G22,0,2,11,0,0,0,54,7,1,0,0,0,12,0,0,45,42,10,0,0,102,156,55,81,4
G23,0,5,12,0,0,0,47,10,6,0,0,0,11,0,0,56,33,20,1,1,97,173,73,96,2
G24,0,3,13,0,0,0,53,2,2,0,0,0,5,0,0,31,37,15,0,0,98,160,74,120,4
G25,0,2,14,0,0,0,50,5,7,0,1,0,9,0,0,56,34,12,0,1,103,155,57,102,5
G26,0,2,14,0,0,0,54,4,8,0,0,0,13,0,0,43,39,15,1,1,97,138,60,101,12
G27,0,1,15,0,0,0,56,7,5,0,0,0,12,0,0,46,46,27,1,2,114,142,71,127,8
G28,0,6,16,0,0,0,57,7,4,0,0,0,10,0,0,40,34,24,0,1,101,128,81,143,13
G29,0,3,21,0,0,0,41,7,4,0,0,0,10,0,0,41,33,19,1,0,86,105,72,141,6
G30,0,5,14,0,0,0,60,7,6,0,0,0,7,0,0,60,39,29,1,1,111,118,94,152,10
G31,0,5,21,0,0,0,50,5,6,0,0,0,14,0,0,55,29,24,0,1,85,104,78,152,16
G32,0,5,25,0,0,0,76,7,8,0,1,0,7,0,0,35,32,24,3,2,117,110,87,141,12
G33,0,6,21,0,0,0,51,3,4,0,0,0,11,0,0,58,28,31,3,4,93,122,91,168,9
G34,0,6,28,0,0,0,57,4,4,0,0,1,6,0,0,51,36,31,0,3,89,103,103,164,18
G35,0,8,17,0,0,0,51,7,5,0,0,0,8,0,0,55,49,27,1,2,88,102,117,185,19
G36,0,4,29,0,0,0,67,5,5,0,0,1,14,0,0,55,37,36,1,2,94,72,102,183,14
G37,0,5,24,0,0,0,77,6,3,0,0,2,12,0,0,49,32,23,0,5,73,70,102,186,25
G38,0,7,22,0,0,0,45,9,5,0,1,3,12,1,0,41,34,21,2,2,77,91,100,203,25
G39,0,5,21,3,0,0,44,8,7,0,0,2,6,0,0,60,32,26,1,1,88,69,99,171,31
G40,0,13,25,1,0,0,58,6,6,0,0,6,13,0,0,50,46,28,1,5,80,68,105,174,18
G41,0,15,33,1,0,0,59,7,8,0,0,10,16,0,0,63,32,41,2,2,78,73,106,183,23
G42,0,20,49,1,0,0,54,3,3,0,0,3,6,0,0,54,40,39,1,3,57,55,107,172,29
G43,0,10,36,2,0,1,64,7,6,0,0,8,11,0,0,60,39,35,2,4,64,52,121,193,33
G44,0,8,31,1,0,0,35,3,8,0,0,11,16,0,0,51,30,41,1,2,56,58,125,193,28
G45,0,17,32,2,0,0,59,3,5,0,1,14,19,1,0,49,36,51,0,7,56,46,139,208,28
G46,0,12,29,0,0,0,41,6,6,0,0,11,19,0,0,62,24,31,4,7,41,57,135,184,29
G47,0,14,38,1,0,0,52,6,7,0,1,10,16,1,0,47,29,36,1,9,44,50,133,173,34
G48,0,9,34,4,0,1,50,5,10,0,1,8,18,0,0,34,39,47,6,9,52,51,154,179,33
G49,0,18,44,5,0,1,57,6,13,0,1,17,18,0,0,41,38,48,3,13,46,39,125,163,44
G50,0,10,48,2,0,1,60,7,12,0,0,17,18,0,0,44,34,32,4,12,45,44,141,181,46
G51,0,16,49,3,0,1,57,1,11,0,2,14,27,1,0,42,41,56,7,3,46,46,126,155,28
G52,0,21,42,4,0,0,65,3,6,0,2,24,22,1,0,37,33,44,6,6,35,32,128,183,30
G53,0,24,40,4,0,1,54,8,9,0,2,26,20,1,0,32,32,47,8,10,30,33,117,174,33
G54,0,19,38,6,0,2,63,7,8,0,0,22,29,0,0,41,37,68,6,11,32,38,136,165,33
G55,0,27,58,3,0,4,50,9,9,0,4,27,23,0,0,35,33,84,4,6,33,27,129,158,31
G56,0,18,61,3,0,1,61,13,17,0,2,34,22,0,0,32,34,63,5,8,28,43,124,186,40
G57,0,20,44,8,0,0,55,11,19,0,4,35,19,0,0,29,36,69,9,14,22,28,140,162,36
G58,0,20,62,4,0,0,54,6,8,0,3,45,24,2,0,29,30,79,6,14,44,38,138,168,33
G59,0,20,69,4,0,3,54,4,17,0,2,40,27,1,0,32,39,81,7,16,28,37,130,140,22
G60,0,29,57,7,0,2,60,9,12,0,1,39,28,1,0,43,31,90,7,16,15,23,154,148,38
G61,0,24,49,6,0,1,49,10,14,0,9,35,20,3,0,29,26,77,8,9,30,28,132,150,36
G62,0,26,63,10,0,3,62,11,14,0,5,44,23,1,0,40,44,76,5,11,22,25,150,155,31
G63,0,30,81,7,0,5,63,11,13,0,9,58,25,1,0,23,28,90,6,13,25,34,134,138,32
G64,0,13,66,12,0,4,65,10,17,0,10,49,22,2,0,26,31,75,5,10,16,24,137,138,29
G65,0,31,68,9,0,4,74,8,23,0,8,43,43,3,0,28,32,75,10,19,30,21,142,131,30
G66,0,25,74,13,0,4,59,11,15,0,12,49,51,2,0,19,28,94,13,13,19,29,121,132,19
G67,0,25,90,15,0,5,56,13,19,0,12,49,34,0,0,18,31,96,11,13,11,29,136,118,20
G68,0,30,71,18,0,9,57,14,22,0,13,43,31,2,0,24,31,87,16,17,25,30,129,108,28
G69,0,21,67,15,0,3,73,6,22,0,20,53,54,0,0,17,23,80,16,14,22,21,142,114,25
G70,0,28,77,15,0,4,74,14,26,0,23,55,49,4,0,26,20,79,10,12,13,31,142,105,20
G71,0,33,105,17,0,7,78,16,22,0,18,45,49,4,0,29,29,89,12,15,13,22,146,123,19
G72,0,18,71,16,0,6,66,14,29,0,28,51,39,0,0,24,34,90,15,20,14,31,153,98,21
G73,0,23,87,14,0,3,64,14,25,0,20,48,52,2,0,21,37,84,13,17,11,18,161,88,27
G74,0,26,73,14,0,4,72,23,38,0,18,53,47,3,0,16,31,90,12,14,15,31,136,110,24
G75,0,28,84,13,0,5,80,16,30,0,25,48,46,2,0,18,30,74,16,18,10,25,131,87,25
G76,0,21,86,19,0,5,75,18,27,0,38,55,45,5,0,15,42,66,17,8,20,24,131,95,22
G77,0,32,88,17,0,7,99,11,39,0,32,53,58,2,0,15,43,63,9,21,12,20,133,93,25
G78,0,21,79,18,0,5,98,17,40,0,18,46,61,3,0,9,35,70,16,17,7,19,128,88,15
G79,0,26,94,19,0,10,78,21,35,0,30,56,50,3,0,23,32,64,23,9,12,22,145,69,11
G80,0,19,86,17,0,6,75,10,39,0,40,48,64,2,0,13,33,58,15,19,14,33,157,85,14
G81,0,29,93,23,0,7,78,32,46,0,28,63,54,3,0,23,33,68,18,18,16,16,148,64,19
G82,0,30,75,24,0,6,82,27,44,0,39,60,48,6,0,9,33,82,16,15,17,20,137,76,13
G83,0,30,89,22,0,6,82,29,41,0,32,68,55,8,0,15,31,68,22,15,17,12,153,77,12
G84,0,39,88,27,0,8,95,30,36,0,33,51,71,5,0,17,32,66,11,20,18,16,161,69,15
G85,0,27,78,21,0,6,71,36,45,0,25,66,66,9,0,12,31,63,27,20,19,22,129,51,16
G86,0,28,101,23,0,12,69,39,68,0,41,50,59,9,0,9,45,64,16,17,15,21,119,77,8
G87,0,18,85,24,0,8,107,36,62,0,30,57,67,8,0,15,48,79,23,19,12,13,127,66,19
G88,0,27,91,23,0,10,98,32,62,0,48,50,65,11,0,11,49,54,28,25,15,23,129,62,14
G89,0,20,88,21,0,7,89,47,62,0,48,47,71,11,0,15,34,59,21,26,14,19,115,59,12
G90,0,23,90,22,0,11,111,38,74,0,46,65,76,9,0,22,41,51,25,20,12,24,138,60,15
G91,0,25,78,28,0,6,114,38,66,0,44,63,84,12,0,11,46,62,23,26,8,26,111,58,16
G92,0,34,79,25,0,7,93,59,75,0,47,58,86,11,0,8,38,71,26,18,17,30,117,65,17
G93,0,28,85,40,0,6,103,54,75,0,33,71,71,14,0,12,45,61,24,17,18,21,103,62,16
G94,0,28,89,35,0,6,90,55,70,0,40,51,112,18,0,12,49,55,26,11,14,26,120,64,16
G95,0,42,99,27,0,14,93,55,81,0,40,52,98,11,0,10,41,63,27,23,8,21,106,59,16
G96,0,38,72,32,0,5,100,71,83,0,25,54,94,16,0,9,45,64,25,14,14,21,106,68,18
G97,0,37,78,32,0,9,100,46,114,0,42,67,106,14,0,12,44,54,29,19,9,17,96,59,18
G98,0,19,88,22,0,3,112,81,108,0,39,67,108,26,0,7,61,48,36,23,11,31,105,37,19
G99,0,25,94,38,0,3,104,83,108,0,25,64,95,19,0,12,48,56,37,18,4,22,98,43,19
G100,0,35,88,29,0,8,100,85,129,0,49,65,116,23,0,7,47,63,34,14,16,30,94,47,15
G101,0,40,68,40,0,6,117,81,128,0,39,65,111,33,0,12,56,57,38,21,11,28,106,44,14
G102,0,37,95,30,0,6,116,81,132,0,39,62,128,22,0,16,76,58,31,23,19,25,91,47,17
G103,0,49,74,49,0,5,116,95,130,0,46,68,129,37,0,11,65,52,34,26,18,27,83,52,12
G104,0,43,74,50,0,3,121,128,131,0,34,74,123,31,0,9,59,49,28,17,16,23,91,53,14
G105,0,30,88,49,0,2,118,119,141,0,43,63,126,34,0,7,59,61,50,23,23,30,86,54,18
G106,0,38,74,35,0,7,130,130,151,0,49,70,136,23,0,9,60,55,36,15,16,27,75,62,15
G107,0,34,60,46,0,3,134,135,128,0,33,72,140,46,0,7,65,54,38,13,8,26,87,47,19
G108,0,41,77,51,0,4,119,136,146,0,52,69,145,28,0,9,50,65,41,18,9,27,77,46,20
G109,0,32,86,63,0,3,132,132,171,0,45,75,162,48,0,9,68,59,43,12,15,41,69,51,8
G110,0,40,74,57,0,7,149,143,161,0,40,83,133,43,1,12,65,57,56,12,6,35,77,60,16
G111,0,41,63,62,0,1,146,141,162,0,50,81,148,42,0,10,65,64,31,11,12,35,78,51,16
G112,0,47,67,66,0,1,144,153,149,0,46,88,128,44,0,16,69,53,37,17,11,28,88,44,13
G113,0,41,83,81,0,1,132,141,147,0,55,88,144,39,0,8,69,46,31,21,15,31,57,45,16
G114,0,40,60,61,0,4,149,146,180,0,46,82,145,51,0,11,93,46,55,17,11,35,74,68,15
G115,0,41,59,77,0,4,143,179,166,0,51,77,154,57,0,4,97,51,48,19,14,31,60,58,17
G116,0,38,64,64,0,1,125,190,166,0,42,80,158,51,4,12,68,66,58,13,15,38,81,66,14
G117,0,50,77,55,0,2,123,205,198,0,54,83,156,58,1,8,83,58,57,15,11,47,66,54,13
G118,0,43,66,76,0,2,126,199,163,0,58,94,159,66,3,9,82,71,64,21,13,36,47,46,7
G119,0,41,57,59,0,3,127,213,191,0,39,87,179,69,0,9,98,55,68,19,7,42,67,62,12
G120,0,40,59,84,0,2,118,212,197,0,41,119,179,76,1,12,95,51,56,26,11,43,54,71,11
G121,0,44,58,95,0,5,120,232,174,0,36,97,152,70,2,5,88,48,52,24,9,45,54,59,10
G122,0,31,60,80,0,2,127,244,178,0,37,116,174,89,6,8,109,40,53,22,15,47,40,40,10
G123,0,35,65,86,0,4,138,259,150,0,41,113,158,80,5,10,99,62,56,18,13,47,44,42,8
G124,0,40,62,76,0,7,145,257,185,0,27,114,179,77,5,11,124,48,61,9,15,44,46,43,19
G125,0,32,51,52,0,1,126,252,193,1,38,135,178,111,5,10,126,41,61,22,16,43,47,54,16
G126,0,46,61,61,0,4,130,250,155,0,48,134,189,105,1,7,107,53,63,20,10,42,48,53,9
G127,0,35,68,65,0,3,135,258,171,0,32,128,181,97,5,12,104,62,78,23,14,52,56,43,18
G128,0,26,48,72,0,0,116,258,166,1,39,149,167,96,10,5,129,45,72,20,12,49,41,46,11
G129,0,41,42,43,0,4,131,228,149,0,26,131,151,112,12,16,142,63,86,27,15,39,44,44,15
G130,0,34,52,52,0,3,112,244,152,0,31,142,160,122,5,10,130,52,85,20,14,43,29,61,7
G131,0,42,44,65,0,1,106,246,143,0,33,141,155,138,17,9,143,54,62,18,21,45,48,42,10
G132,0,27,52,52,0,2,98,280,141,2,33,130,165,129,19,10,144,47,71,21,13,48,37,34,11
G133,0,34,70,51,0,2,116,241,114,1,31,141,126,143,10,5,127,48,83,11,9,42,48,48,6
G134,0,29,63,51,0,2,110,253,130,2,16,150,128,138,16,13,126,54,93,22,11,38,26,46,16
G135,0,29,60,57,0,2,104,271,121,4,29,157,142,152,17,8,129,62,105,10,11,41,36,47,14
G136,0,30,52,41,0,2,81,243,119,0,28,161,109,157,23,6,127,47,100,21,9,39,25,30,12
G137,0,25,63,53,0,2,94,196,117,1,29,156,131,173,13,9,149,61,105,21,13,45,33,43,13
G138,0,26,45,49,0,7,90,214,86,2,25,157,113,177,28,11,146,60,111,21,12,42,20,37,6
G139,0,22,58,45,0,3,103,233,113,2,18,171,121,192,25,6,123,44,135,9,16,34,36,32,16
G140,0,29,64,31,0,0,83,207,108,4,24,168,112,197,35,9,137,52,127,15,14,30,22,34,18
G141,0,28,60,50,0,2,85,216,114,4,18,178,135,211,27,6,156,53,105,18,7,31,17,30,12
G142,0,26,59,36,0,5,91,209,124,1,17,180,95,216,39,9,118,53,110,17,14,30,20,29,9
G143,0,29,40,32,0,0,88,167,113,3,21,179,104,201,38,10,146,42,116,26,11,32,17,43,11
G144,0,22,32,50,0,4,80,178,86,1,19,180,115,197,30,11,127,46,141,27,16,24,20,27,16
G145,0,24,34,26,0,3,64,169,100,4,26,191,90,255,29,8,94,55,126,17,8,25,11,27,6
G146,0,30,36,38,0,1,70,199,101,5,24,187,107,211,40,13,135,48,129,20,6,35,14,23,11
G147,0,26,31,34,0,3,76,170,83,2,19,202,102,215,44,5,109,49,120,17,6,22,12,24,11
G148,0,23,42,26,0,1,81,157,74,5,20,204,86,227,32,18,109,53,154,17,6,24,14,29,11
G149,0,24,44,29,0,5,70,156,70,5,14,188,86,223,41,12,108,51,166,15,10,36,11,27,11
G150,0,22,34,12,0,4,71,131,96,0,21,172,93,275,52,16,139,43,173,14,8,18,11,28,8
G151,0,24,32,20,0,2,48,139,97,3,21,177,76,255,48,11,109,44,150,20,10,24,7,23,14
G152,0,26,31,19,0,1,63,127,88,5,15,169,72,261,50,8,130,42,166,20,14,23,3,25,14
G153,0,19,25,18,0,2,48,122,90,2,12,184,63,249,48,8,122,42,184,19,11,14,6,17,11
G154,0,22,25,27,0,2,55,108,94,2,17,154,65,263,54,6,115,42,180,17,11,18,10,24,7
G155,0,17,23,12,0,6,57,117,96,3,17,176,71,269,63,6,117,55,194,16,16,16,5,20,13
G156,0,15,25,19,0,2,52,112,95,4,18,170,71,234,47,9,108,41,186,14,7,16,8,9,13
G157,0,20,22,19,0,3,31,85,93,0,13,181,79,253,59,10,116,47,196,15,7,8,4,13,13
G158,0,8,21,21,0,2,45,83,82,2,20,148,79,228,57,10,100,42,214,23,14,10,2,14,17
G159,0,23,27,20,0,1,34,96,88,1,15,170,70,201,52,11,108,47,218,19,10,8,4,22,12
G160,0,10,22,20,0,1,36,105,74,2,24,157,62,218,53,12,99,67,179,17,16,13,5,17,12
G161,0,22,12,11,0,4,35,70,89,0,11,139,63,209,63,8,101,52,232,15,9,11,2,18,13
G162,0,22,17,13,0,1,31,97,100,0,17,167,63,205,58,10,117,46,231,15,14,5,1,11,19
G163,0,14,21,13,0,0,39,83,76,2,21,145,45,199,59,7,93,51,200,26,13,8,2,13,13
G164,0,18,20,15,0,4,37,88,94,1,20,134,50,251,76,19,100,43,245,20,8,4,5,15,10
G165,0,17,14,20,0,1,31,72,84,4,19,137,58,202,56,11,100,54,236,29,9,6,0,15,9
G166,0,21,14,21,0,2,32,77,84,1,15,111,49,179,51,11,108,63,226,25,8,4,1,8,11
G167,0,13,26,21,0,2,24,61,79,4,20,136,64,198,79,15,101,46,218,31,13,4,1,7,13
G168,0,20,19,23,0,5,23,62,72,0,12,123,52,206,58,7,94,57,226,29,12,2,2,5,12
G169,0,17,13,21,0,6,32,39,103,1,14,117,64,189,63,12,86,65,237,21,6,5,0,10,11
G170,0,7,12,23,0,5,26,42,88,3,12,114,46,176,58,14,105,52,248,24,10,2,1,9,14
G171,0,15,18,16,0,1,34,40,91,1,17,125,47,199,58,15,88,74,254,23,13,1,0,4,12
G172,0,15,19,18,0,5,22,35,87,3,18,109,58,170,53,8,83,72,247,30,11,2,1,12,9
G173,0,16,13,29,0,3,16,41,66,2,15,103,44,159,45,12,84,56,235,18,10,1,0,7,7
G174,0,10,12,18,0,1,24,28,96,5,18,91,57,154,52,15,81,68,249,26,11,0,1,7,16
G175,0,17,14,15,0,1,22,27,84,0,17,109,44,147,38,17,95,75,243,30,5,1,1,2,6
G176,0,8,13,24,0,1,18,26,78,0,17,103,44,141,30,15,78,75,251,21,21,0,1,5,15
G177,0,15,21,13,0,4,16,34,92,1,12,72,48,153,41,16,71,49,239,28,13,1,0,8,16
G178,0,27,14,20,0,2,24,19,71,2,15,80,49,148,42,13,74,81,227,17,6,0,0,9,9
G179,0,21,21,24,0,5,19,19,69,1,11,95,42,131,30,13,73,71,232,21,10,0,0,3,14
G180,0,16,20,14,0,3,13,16,81,1,10,84,44,126,20,14,76,71,198,21,13,0,0,2,13
G181,0,14,19,17,0,5,15,15,68,1,15,64,51,128,36,17,74,88,208,12,16,0,0,0,18
G182,0,16,19,18,0,1,9,18,63,2,15,65,55,110,23,18,66,86,189,26,17,0,2,7,16
G183,0,24,23,22,0,2,6,11,73,1,16,60,42,106,33,12,66,86,162,17,8,0,1,3,22
G184,0,14,16,23,0,5,14,10,62,0,6,57,47,100,25,17,66,103,191,15,18,0,0,1,10
G185,0,22,19,19,0,2,13,15,47,2,10,52,40,96,23,14,65,91,156,12,14,0,0,3,22
G186,0,19,28,18,0,2,11,6,43,2,19,44,43,78,22,15,64,105,149,14,9,0,0,1,16
G187,0,14,24,17,0,3,6,7,50,5,10,42,39,73,20,11,48,94,162,13,12,0,0,1,14
G188,0,15,21,15,0,4,10,14,44,1,14,37,51,76,24,22,53,110,121,13,7,0,0,3,12
G189,0,12,21,23,0,5,9,10,44,3,11,52,35,62,25,21,41,113,117,21,13,0,0,0,13
G190,0,14,17,21,0,7,2,4,32,1,15,25,56,64,19,16,51,102,115,17,13,0,0,0,12
G191,0,18,19,22,0,6,6,7,42,2,18,25,44,65,15,19,47,123,90,15,17,0,0,0,12
G192,0,25,23,24,0,4,6,5,33,3,23,26,53,51,19,17,39,102,81,23,10,0,0,1,16
G193,0,18,24,29,0,8,5,4,27,1,14,21,38,58,26,15,28,122,72,15,14,0,0,2,11
G194,0,17,36,18,0,4,7,3,29,1,16,21,34,40,19,11,34,130,53,14,15,0,0,2,16
G195,0,23,19,25,0,3,0,6,20,2,7,25,44,33,17,19,24,110,64,23,14,0,0,0,15
G196,0,13,19,20,0,7,7,3,23,8,17,14,34,32,17,16,27,111,44,11,9,0,0,1,15
G197,0,15,25,21,0,4,4,3,18,2,12,11,25,33,20,21,23,113,46,15,16,0,0,0,12
G198,0,22,19,21,0,1,3,1,16,4,16,13,35,27,15,14,24,144,38,17,11,0,0,1,14
G199,0,14,31,24,0,4,7,0,10,3,16,9,37,26,25,25,18,137,28,18,19,0,0,0,23
G200,0,18,19,20,0,4,7,1,20,9,11,5,30,23,14,20,16,135,17,14,16,0,0,0,20
G201,0,23,24,31,0,4,4,0,11,2,13,7,22,26,19,19,18,124,24,20,18,0,0,0,17
G202,0,17,27,26,0,5,2,0,10,3,17,5,34,12,23,8,11,118,17,20,24,0,0,1,28
G203,0,17,20,33,0,4,3,3,15,5,12,12,26,18,24,27,14,136,14,17,14,0,0,1,16
G204,0,23,21,23,0,4,3,0,15,3,15,6,29,16,19,16,9,115,9,22,15,0,0,0,22
G205,0,23,19,22,0,3,4,1,13,4,10,1,39,11,16,11,12,124,8,17,21,0,0,0,17
G206,0,21,25,26,0,3,2,0,11,2,17,6,21,13,17,23,10,136,7,25,13,0,0,0,22
G207,0,17,28,22,0,7,3,0,10,1,14,1,37,15,10,22,9,127,9,13,11,0,0,0,26
G208,0,23,25,28,0,5,3,2,5,0,22,1,35,12,16,18,5,87,7,16,14,0,0,0,21
G209,0,24,14,26,0,5,4,1,13,3,15,3,31,13,12,23,6,101,3,24,18,0,0,0,24
G210,0,28,22,16,0,8,5,1,10,3,12,2,29,8,19,22,5,114,4,14,21,0,0,0,23
G211,0,20,31,26,0,7,5,0,10,4,14,1,23,10,14,29,3,88,8,14,18,0,0,0,20
G212,0,22,23,27,0,3,8,0,8,13,9,0,23,10,16,19,3,111,2,21,18,0,0,0,34
G213,0,27,19,27,0,3,4,0,12,5,12,0,29,10,18,24,2,105,3,11,25,0,0,0,21
G214,0,18,27,19,0,3,4,3,9,6,17,0,27,12,12,31,1,86,3,14,21,0,0,0,24
G215,0,32,33,30,0,1,3,0,8,5,15,1,22,12,10,19,0,94,1,13,24,0,0,0,23
G216,0,27,30,26,0,7,2,1,8,5,19,1,17,10,14,13,1,92,1,19,21,0,0,0,26
G217,0,34,12,23,0,3,7,0,13,2,20,0,25,10,28,18,1,86,2,8,19,0,0,0,17
G218,0,31,20,30,0,4,5,0,6,12,12,0,23,9,21,22,0,85,3,25,30,0,0,0,21
G219,0,40,29,28,0,10,5,0,2,5,15,0,21,7,20,22,1,88,1,25,20,0,0,0,14
G220,0,31,33,25,0,4,1,0,6,10,19,0,12,7,18,15,0,68,1,17,24,0,0,0,18
G221,0,21,22,33,0,6,4,0,9,9,16,0,18,9,17,26,2,67,1,19,22,0,0,0,21
G222,0,39,37,34,0,1,5,0,11,3,23,0,7,4,21,18,0,59,2,30,31,0,0,0,24
G223,0,44,33,24,0,2,4,0,5,10,16,0,11,4,22,15,0,68,1,27,30,0,0,0,27
G224,0,28,35,34,0,6,5,0,11,12,28,0,13,6,23,14,0,58,3,25,28,0,0,0,21
G225,0,32,31,41,0,8,7,0,12,9,22,1,10,7,22,31,0,31,1,20,25,0,0,0,30
G226,0,41,27,36,0,3,3,1,4,9,17,0,7,5,20,23,0,35,0,25,25,0,0,0,23
G227,0,29,38,44,0,4,9,0,6,9,15,0,7,0,19,25,0,31,1,22,23,0,0,0,32
G228,0,37,41,32,0,2,7,0,7,6,15,0,7,2,17,27,0,31,0,20,37,0,0,0,18
G229,0,47,42,45,0,3,13,0,10,8,29,1,2,4,25,23,1,25,0,20,28,0,0,0,25
G230,0,34,32,38,0,9,13,0,5,12,16,0,0,6,19,25,0,14,0,35,41,0,0,0,19
G231,0,43,46,38,0,6,9,0,5,8,25,0,1,3,31,25,0,15,0,28,32,0,0,0,15
G232,0,30,31,40,0,7,8,0,11,13,33,1,0,1,27,22,0,8,1,33,25,0,0,0,22
G233,0,38,43,44,0,10,5,0,9,9,25,0,0,0,21,34,0,6,0,26,39,0,0,0,24
G234,0,38,37,43,0,4,1,0,9,10,27,0,0,0,23,25,0,4,0,37,30,0,0,0,19
G235,0,37,45,44,0,6,4,0,8,13,23,0,1,1,20,40,0,3,0,31,32,0,0,0,26
G236,0,24,44,45,0,10,11,0,0,9,22,0,0,1,25,30,0,0,0,28,46,0,0,0,30
G237,0,51,51,49,0,7,12,0,7,14,24,0,0,0,24,22,0,1,0,36,40,0,0,0,32
G238,0,41,50,43,0,14,13,0,6,14,33,0,0,1,23,27,0,0,0,31,47,0,0,0,28
G239,0,42,48,50,0,15,13,0,4,11,26,0,0,0,27,36,0,0,0,22,28,0,0,0,23
G240,0,43,59,59,0,7,9,0,14,10,27,0,0,0,34,33,0,0,0,33,31,0,0,0,31
G241,0,42,53,57,0,9,13,0,3,11,36,0,0,0,40,34,0,0,0,38,33,0,0,0,45
G242,0,47,82,69,0,9,10,0,6,10,35,0,0,0,38,25,0,0,0,44,47,0,0,0,31
G243,0,45,53,60,0,11,18,0,5,13,35,0,0,0,47,32,0,0,0,48,45,0,0,0,33
G244,0,54,72,81,0,19,10,0,7,19,27,0,0,0,33,35,0,0,0,51,42,0,0,0,39
G245,0,72,82,70,0,7,21,0,7,27,27,0,0,0,41,44,0,0,0,45,55,0,0,0,36
G246,0,75,84,93,0,7,15,0,6,23,25,0,0,0,39,49,0,0,0,45,44,0,0,0,46
G247,0,83,95,105,0,12,13,0,7,22,31,0,0,0,33,41,0,0,0,55,65,0,0,0,51
G248,0,78,107,95,0,11,16,0,5,32,28,0,0,0,55,61,0,0,0,55,50,0,0,0,39
G249,0,110,156,109,0,17,15,0,14,40,45,0,0,0,55,48,0,0,0,64,62,0,0,0,72
G250,0,116,148,114,0,19,14,0,14,30,56,0,0,0,58,76,0,0,0,76,93,0,0,0,70
G251,0,129,168,147,0,29,28,0,16,35,80,0,0,0,78,124,0,0,0,57,90,0,0,0,106
G252,0,169,226,161,0,39,24,0,27,47,109,0,0,0,107,108,0,0,0,101,116,0,0,0,109
G253,0,266,292,224,0,47,41,0,24,90,145,0,0,0,164,153,0,0,0,90,145,0,0,0,185
G254,0,975,949,839,0,166,203,0,136,153,422,0,0,0,427,257,0,0,0,448,525,0,0,0,309
G255,13530,5919,1057,5436,13200,12329,282,0,237,12198,8011,0,0,0,8540,7150,0,0,0,8310,4882,0,0,0,7736
R0,0,0,0,0,0,0,1,20,11,0,0,0,87,0,0,2,3,0,0,0,0,178,3,0,0
R1,0,0,0,0,0,0,1,4,3,0,0,0,39,0,0,0,12,0,0,0,0,274,11,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,2,0,0,0,0,113,2,0,0
R3,0,0,0,0,0,0,0,5,3,0,0,0,36,0,0,5,37,0,0,0,2,233,18,0,0
R4,0,0,0,0,0,0,1,6,5,0,0,0,19,0,0,3,33,0,0,0,8,286,28,0,0
R5,0,0,0,0,0,0,1,4,0,0,0,0,17,0,0,4,23,0,0,0,3,157,11,0,0
R6,0,0,0,0,0,0,0,8,5,0,0,0,9,0,0,9,33,0,0,0,8,298,28,1,0
R7,0,0,0,0,0,0,1,7,1,0,0,0,18,0,0,8,35,0,0,0,12,274,25,2,0
R8,0,0,0,0,0,0,0,5,1,0,0,0,17,0,0,8,47,0,0,0,9,309,25,1,0
R9,0,0,1,0,0,0,0,7,2,0,0,0,7,0,0,3,30,1,0,0,16,229,18,0,0
